Review,Freshness
" Now You See Me 2 is full of entertaining, action-packed nonsense, but this prestidigitation is less presto! than largo. In the end, these card sharks lack teeth.",0
 Miike surprises for all the wrong reasons.,0
" Hats, caps and wigs off. There's reason to dance on the streets. Here's a masterwork of technical bravura, adorned with inspired ensemble performances and directed with astonishing empathy.",1
" It never leans on the concept of singing animals too much, allowing for some character-driven scenes that make us actually care about these animals, why they are in the contest, and most importantly, their aspirations and dreams",1
" Gringo is a messy, confused entry in the crime genre that wastes its stellar ensemble on an uninspired narrative and leaves minimal impact.",0
 An uneven yarn of pregnant pauses punctuated by charm.,1
 The price of good intentions is that it looks and feels like an extended public-service announcement for goodness.,0
" Exquisitely made...offers a distinctive, compelling take on the 'Scarface' formula.",1
 A direct-to-video quality production being sent to the theaters instead in the hope of getting families to spend ten times as much money (or more) ...,0
" It's possible this movie might work better streamed on your own laptop, as the windows-within-windows effect gets multiplied. ",0
" Believe it or not, toward the end of the film, Leo gets down on his knees, looks up at the heavens and a craning camera and shouts ""Nooooooooooo!"" Just like Principal Skinner.",0
" The script, by David T. Wagner and Brent Goldberg, is breathtakingly bad.",0
" It's long at 145 minutes, but it needed space to accommodate its titillating mix of police procedural, whodunnit, social satire and psychological drama.",1
" Aside from the clever engineering of the traps (and perhaps one two-timing trollop that had it coming), the story is formulaic at best.",0
 An object lesson in how to make a good documentary,1
" It just doesn't flow, giving the feel of too many writers and/or directors. ",0
 Such a fascinating moment in Dutch history is deserving of a far better vehicle than an episode of Hollyoaks produced by Harvey Weinstein.,0
" Not only is the trailer for 1408 oodles more terrifying than the movie itself; worse, for the most part, this pop-horror trifle adapted from a Stephen King short story grows into a formulaic bore.",0
" A certain smugness creeps into the corners of The Kids Are All Right. Morality doesn't have to mean Puritanism, but there is something of that here. ",0
" Part of the problem does lie in DeVine himself, who is relied on too heavily by the script and is present in essentially every scene. ",0
 The explanation is so darkly compelling-and ultimately so chilling-that The Vanishing has earned its reputation as one of the scariest non-horror movies ever made. ,1
" Leaving aside two brilliant 1963 film adaptations of [Pinter's] best work, The Caretaker and The Servant, the terse opacity of the dialogue that served his early plays so astringently has never translated well onto the big screen.",0
" There's no denying the power of that cast and the particular vision of McQueen, who turns Widows into something truly distinctive... if not necessarily effective.",1
 Manchester by the Sea defies Hollywood notion that all misfortune has an ulterior purpose or motive and that every dramatic arc must culminate in a positive change. [Full review in Spanish],1
" Resides amid half-remembered fragments of Cinemax soft-core, Turkish remakes of The Exorcist, and third-string Troma releases such as Fat Guy Goes Nutzoid.",0
" I do not believe, as far as I can remember %u2013 and I pray I don't offend, my dear reader %u2013 the line of dialogue, ""The thought of your sperm inside me is unbearable,"" derived from the pen of Conrad, but rather its harsh tones sound pure Huppertian.",0
" It takes a lot of movie magic to reduce some 3000 years of mythology to piffle. After watching this farrago produced by state-of-the-art 3-D and CGI, I'm all for the return of the oral tradition.",0
" Apted creates a graceful back-and-forth from the earlier films to the present, and the experience of seeing people who have lived so much on screen is quite profound.",1
" Lilting can feel like an airtight glass box, but the figures inside it are vividly alive.",1
 The uplifting triumph is the looks and smiles on their faces when they finally see their reflection in the mirror match how they feel inside and how they've wanted to look.,1
" Minions is despicable, or maybe it's just me.",0
" Sniff all you like, but Spike Island smells of nothing.",0
" I'm a huge Tina Fey fan, but Amy Poehler is sadly miscast.",0
" Maguire's otherworldly coolness suits the observer drawn into a story he might prefer only to watch. DiCaprio is persuasive as the little boy lost impersonating a tough guy, and Mulligan finds ways to express Daisy's magnetism and weakness.",1
" Though the quirk and contrivance is ladled on a little thick at times, Woman at War is a surprisingly crowd-pleasing film considering its subject matter.",1
 He's finally figured out what to do with a big budget ... Yet del Toro still hasn't figured out some basic storytelling tenets.,0
 [A] cagey low-budget horror flick.,1
 This film essentially paints itself into a corner from which it can't maneuver to deliver a satisfying ending.,0
" The deeply moving and strangely exhilarating Heart of a Dog is experimental artist Laurie Anderson's tribute to her late, beloved rat terrier, Lolabelle.",1
 So few movies attempt to do anything really fresh that the arrival of a picture that attempts to do several such things triggers a reflexive jubilation.,1
 I honestly cannot think of anything worse that has been made in between the time the Lumiere Brothers photographed a train pulling into a station in 1895 and today.,0
" By transferring the spirit or ""ghost"" of the original Ghost in the Shell into a broader, crowd-pleasing frame, some of what it stood for was definitely lost. But not all of it.",1
" If the scenes between the four leads had been stronger, it might have been easier to overlook the film's structural and tonal weaknesses, but as it happens they only rescue it in dribs and drabs.",0
 This dark comedy does provide a breath of fresh air in contrast to all the stale and cloyingly cutesy comedies Hollywood produces.,1
" The movie chases its own tail, making fun of itself making fun of itself. By the end, whatever targets it had in its sights are so far off you can barely see them anymore.",0
 It's like a protracted teen drama with a low-budget supernatural showdown tacked on the end.,0
" Sadly, as with [director Eli] Roth's promising but flawed debut feature, its central conceit is more compelling than what ended up on screen.",0
 Leaden pace leaves New Moon lifeless.,0
" An acidic force of nature, confident with brutal exchanges of opinion, yet retains a cutting satirical curve that buttresses the film's undeniable pull toward outright silliness.",1
" My Life should be a more rigorous and single-minded film; maybe it started that way, before getting spoonfuls of honey to make the medicine go down. ",0
" Basic Instinct was a seminal 1990s film, but like a lot of things from the 1990s, it hasn't aged very well.",0
" A film with a marmite subject matter that will divide critics & audiences alike, Seeds is still worth the investment. Just get ready to feel really uncomfortable.",1
 A very appealing film.,1
" It's the Rogen-Goldberg touch, with the duo's characteristic Superbad mash of the sweet and the bracingly coarse, that sells this unusual downer/upper of a life-and-death comedy.",1
 The Aftermath arrives as a mildly engaging trifle that might have worked better as a miniseries.,0
" Like the ideal version of their mother these sisters carry in their heads, there's a better version of Mouthpiece that was never uncovered.",0
 Are there any video games where the whole point is to sit around doing nothing for 95 minutes?,0
" A neon-colored, sun-baked fantasia that's part Western spoof and part surrealist jag through the desert with Johnny Depp as our theatrically unhinged, reptilian tour guide, Rango is anything but your standard kiddie animated flick.",1
 The film's out-of-nowhere shock value conclusion suggests that Perry and Altman were really at a loss as to how to tie everything up.,0
" Paint It Black is vibrant with emotion, and authentic in its journey, presenting an arc of grief that is raw, riveting, and surreally beautiful.",1
 Casts light on what it is about the way we are that make wickedness so damnably attractive.,1
" ""The Lazarus Effect"" boasts nothing special. It's not going to provide much relief for horror-starved audiences.",0
 It's all very contrived and terminally nice. Probably too nice for its own good.,1
 All that's happened is that a dumb comedy has gotten slightly dumber.,0
" Franchise Fred would approve a golem franchise. Continue the story of Hanna's village, or visit the golem upon different periods in history, or even modern day. If this is just the origin story, Franchise Fred approves.",1
 Slickly made and worth the watch.,1
" The entire film possesses a certain longing, the sort that manifests itself and begins to grow at the moment of High School graduation, when some of the most formative circumstances of youth are remembered only as ephemeral moments.",1
" A cheerful Frankenstein's monster, cobbled together from bits of dozens of zombie gut-crunchers, plus aliens, acid rain and assorted X-Files weirdness.",0
" Far and Away looks like an epic, but it lacks flavor and texture. It's so predigested there's nothing left to chew on.",0
" Without recourse to frilly cuffs or a montage to A Flock Of Seagulls' greatest hit, it plays the '80s card for something heartfelt.",1
 Cooper has made a remarkably self-assured feature debut anchored by an outstanding lead performance from Lady Gaga. ,1
 Watching some of the best thespians of our era beat the crap out of each other (both literally and figuratively) is one of The Departed's greatest joys.,1
" A total triumph, and thank goodness for that. Imagine if it had been terrible and someone else had to make a film about the making of the worst film ever made about the making of the worst film ever made. We'd be here for decades, getting ever more meta.",1
" Haggis has an extraordinary knack for choosing themes which are controversial and relevant, and then getting his actors to maximize their skills. This may yet be the best film of the year.",1
" The ""feel-bad, feel-good"" movie of the year, a well-made film that is so dark that it can be hard to watch but that is designed to illustrate the fact that the human power to overcome adversity is stronger than the instinct to shrivel and die.",1
" This live-action adaptation of an animated children's fantasy series is a leaden, joyless ride that represents another major misfire from the once-promising filmmaker.",0
 Promise me you won't go there.,0
" Seabiscuit is a godsend, an oasis in a summer of mindless spectacle. Here is a human story, an inspirational tale about real people -- and one special horse -- who conquer adversity without so much as a light saber.",1
" In particular, a collapsing car rescue shows creative build, and the fact that a tsunami is not the biggest obstacle in a tsunami sequence shows screenwriter Carlton Cuse worked overtime to provide some clever disasters.",1
 I enjoyed none of it; I endured all of it.,0
 Algerian Fellag plays the title role with an obvious love for young minds finding their place in the world.,1
 The best movie of the year about 1660s stage politics.,1
" One of a kind, totally clever gangster parody with music and kids.",1
" Mad Max: Fury Road wasn't the biggest hit film of the summer of 2015 (that honor belongs to Jurassic World) but it is easily the most visceral and the most intelligent action film of year. Decades in the making, there's nothing else like this out there.",1
" One of the best films of the decade, Yi Yi, Edward Yang's most accessible (and very last) film is a fluent, charming and precise family portrait that celebrates ordinary life with all its joys and chaos.",1
" Every time Peter has to choose whether to do his self-appointed job or seize one irreplaceable personal moment with Liz, the strain shows on his face. Civil War made his conflicts big, funny, and thrilling. Homecoming makes them personal.",1
" The stories are pretty fascinating, but like all documentarians, Salerno faces the problem of what to put onscreen.",0
" It rekindles the warmth of great Hollywood romances, where foreplay was the climax and a kiss was never just a kiss.",1
" Doctor Strange is all about the razzle-dazzle, where spectacle elements are good enough to save a more clunky, weightless Marvel origin story.",1
" Didn't inform, reform or transform me. It was just a lot of explosions and noise signifying nothing. But for those who like that sort of thing it was perfect.",0
" If it is narrow in its appeal, then the movie is earnest about entertaining a certain strata of kid-dom who will appreciate it more than I.",1
 Nothing about it feels organic and fruitful; The Grinch feels like it is reaching an end-year quota. ,0
 Another video game transferred to the big screen with only so so results,0
" A smarter film could get away with such self-aware, self-deprecating commentary on artistic authenticity and the respective powers literature and cinema; unfortunately, The Plagiarists is no such creation.",0
" In the end, In Bruges is a bit arch and artificial, but it is more than redeemed by Farrell and Gleeson's presence, and by the bushwhacking wit of the film's writer/director.",1
" Interesting, edgy indie drama tackles racism, fitting in. ",1
" Make no mistake about it, Panic has some merits. It's unlike anything currently being done in the animation realm. Unfortunately, it lacks the playfulness and endearing qualities of its clay-animated kin...",0
" Watch it for the visuals, and dream about what Shane Acker might accomplish with a better screenplay.",1
 The result is a remake with no guiding principle beyond mere existence.,0
 Its rote characters invite none of our empathy or concern in a plot unencumbered by depth or surprises.,0
" Richard Gere, Rebecca Hall, Steve Coogan and Laura Linney collectively fail to rescue this trying-too-hard drama.",0
" An inspiring profile of the Catholic Pope who truly walks his talk about love, mercy, and service.",1
" Alas, Due Date takes a simple premise and goes nowhere with it as the two lead characters travel thousands of miles on a journey of self-discovery.",0
 Jon Schnitzer is one hell of documentarian and he has struck gold with Haunters. You will not be able to look away. ,1
 The film trots out thinly conceived villains and a murky plot twists that leave crucial details needlessly shrouded in mystery.,0
 Part of the problem lies with Crowe's script -- which is far and away the most maudlin thing he's ever written -- and part with his choice of leads.,0
 A heartbreaking biopic about the first openly gay man to win an important political position.,1
 Hugely implausible and relentlessly downbeat cop thriller lacks any sense of authenticity.,0
 I'm sure there are plenty of people who will find it offensive ... I was too busy laughing.,1
 An extensive primer preceding a call for action.,1
" A few cast members bring a scene or two alive, but Vanity Fair is mostly mismanaged.",0
" It's a less anguished, much funnier 'One Flew Over the Cuckoo's Nest'... ",1
" The film works better when crafting its own experiments in social embarrassment, such as the scene where Milgram argues about his work with an Abe Lincoln impersonator, as opposed to the stuffy book report that dominates the final hour.",0
" Good Time isn't helped by the script,",0
" The camera-eye view is treated more as an obstacle to be overcome than a tool for storytelling, raising the question of why not just scrap it altogether.",0
" [F]antastic, a whiz-bang follow-up that far surpasses the original as it breathlessly zigs and zags all over the globe.",1
" ... doesn't offer much insight beneath the surface, especially when considered in a contemporary context.",0
