Review,Freshness
 No movie can match Quentin Tarantino's spaghetti Western/blaxploitation/southern when it comes to illustrating the carnage wrought by slavery.,1
 Supercross is basically just a high-gloss delivery device for off-road racing scenes.,0
" The narrative dares to break the insular hermeticism reflecting that triangular intercommunication between Sergio, Sergei and Peter. [Full review in Spanish]",1
" The Burton trademark special effects are typically fun, but the late release and lackluster performances make Sleepy Hollow feel exactly like its title: sleepy and hollow.",0
" [Haluk] Bilginer's [performance] alternates between brooding melancholy and sharp-tongued contemptuousness, failing to reach the tragic dimensions which the writers intended.",0
" Another wrongheaded, stilted and obvious thriller. Yawn...",0
" Vaughn and Heche bring energy and freshness to the parts originated by Anthony Perkins and Janet Leigh. Heche is so good, in fact, and so frisky and watchable in her role, that after her grisly demise in the shower you miss her for a long time.",1
" FALLEN KINGDOM Brings Action, Forgets Characters, Awe",0
" Dumb, shallow, stilted and more cringe-inducing than sexy. It's one of the funniest unintentional comedies of the year. ",0
" The ""Divergent"" series wasn't strong to begin with but this latest entry reaches a new low point.",0
" If you're a Darin and/or a Spacey fan, this film is a must see. It's just that where I'm supposed to enthusiastically applaud, I find myself sitting on my hands.",1
" While the book works fine for the younger set, the film tries to be too much an Alice-in-Wonderland-class story for all ages, but it rarely works for both young and old at the same time.",0
" The movie finds some melancholy poetry in principal character Manglehorn's obsession with a long-lost love. But his decades-in-the-making redemption is too little, too late, for himself and the audience. ",0
 The suck principle is making up for lost time. It's almost bad enough to implicate its predecessors.,0
 The middle hour takes such a laughless nosedive that you'll wish they just cut out that 60 minutes and slapped the remaining 30 on TV.,0
" Shannon's intense here, as he is in many of his roles, but it's Jessica Chastain who really promotes the film's anxiety...",1
" There is next to no dialogue in the film's final 30 minutes %u2013 just a torrent of killing, blood and violence. The film's target market of young testosterone-charged males will no doubt be eager to immerse themselves in this blood-fest of stunts and sp",0
 Structurally inert.,0
" Director Scott Derrickson demonstrates a knack for atmosphere but little sense of pacing; some sequences are effectively spooky (particularly one set at the Bronx Zoo), though just as many feel uninspired.",0
" It's hard to imagine anybody who's 21 and over truly getting much out of 21 & Over, but as far as these sorts of films go, this one isn't as aggressively stupid as some.",0
" Nichols' wild narrative tributaries all eventually intersect, and at no time does he let one's attention stall.",1
" Like a bad sitcom, it wants to make you smile while tugging at your heartstrings, but what it induces is a grimace and heartburn.",0
 You could think of admission to Drawing Restraint 9 as an $8.25 nap.,0
 It has no thrills. No sense of real danger. No sense of loss at the deaths of the crewmen. It's as if Howard thought the sight of CGI whales leaping into the air would be sufficiently dramatic to carry the story.,0
 It is to the film-maker's credit that these scenes are filled with real tension and edge-of-your-seat moments.,1
 Who knew cold-blooded sociopaths were such softies at heart?,0
 Blomkamp's seemingly limitless imagination in terms of tech finds itself repeatedly and frustratingly grounded by heavy-handed storytelling.,0
" While far more formulaic than it pretends to be, 'Patti Cake$' has enough going for it-including Macdonald-to be worth a look, as long as rap doesn't completely turn you off.",1
" On the whole, though, Alice is such a wet character, and her plight so shallow and insignificant, it is a struggle to care. Stay, go, cry, laugh, wake me when it is over.",0
" While Attack On Titan is a strange cinematic beast to behold, especially for those unfamiliar with the anime, it is still an essential example of Japanese pop-culture loaded with thematic intrigue and audacious visuals.",1
" The kind of sappy, sadness-turns- to-gladness holiday movie that shows up on cable TV this time of year.",0
" As a whole, I cannot recommend Wolfman's Got Nards enough for those who love The Monster Squad, for fans of the horror genre, or even for anyone who has ever felt misunderstood by the world at large. ",1
 The work of a born filmmaker.,1
" Entirely hollow, poorly put together, and will require an audience on its level of stupidity to survive. Don't be one of its supporters.",0
" A film that fails to create any type of empathy with the spectator, especially in a time when TV does a better work at showing us a stronger version of the real world. [Full review in Spanish[",0
" [Glen] Hassard and [Marketa] Irglova, newcomers to feature film, show both natural acting skills and terrific musical ability.",0
 familiarity only adds to the feeling that this is just another Carrey movie,0
 None of the scenes have any urgency and from shot-to-shot it's rarely clear what the end goal of the scene is.,0
" The ensemble can't bring enough, though, to overcome the unoriginal setup and predictable story arc.",0
 Vardalos doesn't help her case by making her big screen comeback in something so sitcom-level.,0
" It's a hodgepodge; a love story, a heist movie, social satire. Yet none of them work. The love story is creepy at times. The heist isn't that exciting and has very low stakes. And the social satire has no bite.",0
 Tatou still inhabits the role of an annoying woman but the Rashomon feature affords heft for this film.,1
" Where are the scenes of the undead feasting on entrails? The atmosphere of creeping dread? The subversive satire? But take Forster's movie on its own terms and it delivers pulse-pounding, adrenaline-pumping excitement.",1
" What could have been a good black comedy ends up failing, with formulaic and didactic representations of immigrants as beings worth of holiness, stripped of complexity. [Full Review in Spanish] ",0
" Unforgettable simply fails to deliver in terms of atmosphere and, moreover, the filmmakers fail to develop any sort of subtext from the material that might give weight to the story.",0
" As the basis for a movie, it makes for a moving love story; but it doesn't really make much sense of two messy, complicated true lives.",0
" We're left with Mafiosi and l'amour fou, neither of which is as compelling as a mother's love.",0
" Gerwig pulls off an incredible trick: Somehow, she makes an inherently unlikable character, likable. It's one of the year's most intriguing and unmissable performances, and it confirms that Gerwig is among the brightest talents on the cinema scene.",1
 I can't say Everyone's Hero strikes out -- it might distract little kids for a while -- but the directors needn't bother practicing their home run trots.,0
" Long before the movie ends, it slips right off the sprockets.",0
" The first one offered the novel sight of Oskar Schindler going Commando. Unfortunately, this half-hearted sequel is low on novelty and lower on fun.",0
" For every moment the screenplay by Ian Deitchman and Kristin Rusk Robinson gets right, there are two more to make you cringe in embarrassment.",0
 Zinnemann proved to be a filmmaker for all seasons.,1
 It's painful to think that a high school crowd might actually flock to this irresponsible goofball comedy.,0
" Funny, sad, bitingly authentic, Kes resonates with Loach's anger at the way many kids grow up into narrow, option-free lives.",1
 A new millennium hybrid of Dangerous Minds and Hoosiers.,0
" As a certain tenacious rocker once intoned, you barely passed the test, Jack. You know what you got? F plus. Click.",0
" Chayefsky was apparently serious about much of this shrill, self-important 1976 satire about television, interlaced with bile about radicals and pushy career women, and so were some critics at the time.",0
" Stallone's here, kind of, but ""Escape Plan 2"" doesn't have much interest in his participation, going the easy-peasy B-movie route to cough up an inexpensive, easily marketable sequel that's led by actor Xiaoming Huang.",0
" As a TV-to-movie remake, LOTL ranks with Lost In Space: fitfully entertaining, largely uninspired. Ferrell does his best, but ends up stranded in the middle of an ideas desert.",0
" Zwigoff captures quite well the backstab aspects of this world, its rampant phoney baloneyness. But his funk doesn't allow him to capture something far more enticing: the power of true artistry.",0
" It's an intriguing, then bemusing, sometimes unintentionally amusing blend.",0
 Swimming Pool smolders with held-back eroticism and brain-teasing enigmas.,1
" The first half of the film is dreadfully contrived and artificial, from the uneven acting to the stereotype-filled script, to the aforementioned set and production design.",0
 Fantastic Mr. Fox is indeed fantastic in every way.,1
 What makes us laugh at this dark comedy is the insolence its creators hold for the very bones of their narrative.,1
" Sandi Tan's view of what the original Shirkers represented, and what her new film should be, proves surprisingly expansive.",1
 Mediocre family fare that's simply not that much fun.,0
" This great poem on the end of the world is truly a film for the ages. It can't really be described, but only lived.",1
" Whatever its basis in fact, there's nothing to Young Goethe In Love's story that dozens of other films haven't done before, and better.",0
" This disappointing drama packs in too many characters, too many talky scenes, too many flashbacks.",0
 The Open Door as a perfect example of how not to make a horror film...,0
