Review,Freshness
 Pirate Radio is going to be the event of the year for guys of indeterminate age (but closer to fifty than to fifteen) who can never get enough Sixties rock 'n' roll at the movies.,1
" Does nothing for anyone who isn't cheering for the cameos of Amy Jo Johnson and Jason David Frank and the one utterance of ""Ay-yi-yi!"" by Alpha 5.",0
" It's kind of a thriller, but any genre expectations will be thwarted by writer/director J.C. Chandor's almost-perverse pleasure in stopping shy of the boiling point. A Most Violent Year is all about the simmer.",1
" It's a crackerjack premise, if only because it fundamentally alters the fabric of the traditional horror template.",1
" For a movie seemingly concerned with clarity and enlightenment, it's woefully lacking in both.",0
" Even though August Rush is sappy, it's the kind of sweetness that everyone needs once in awhile -- like a big, honkin' ice cream sundae.",1
" A chintzy, poorly acted origin story of the legendary Greek hero that blatantly mimics its genre ancestors while drenching its action in corny 3D and CG-enhanced slow-motion.",0
" Unfortunately, the film raises more questions than it answers.",0
" There are moments when it seems Kutcher might look right into the camera and say, 'Ready to see me walk right into another impossibly stupid faux pas?'",0
 The opening-credit montage featuring real-life news bloopers is funnier than anything in the script.,0
" Beautifully shot and willing to grapple with morality in ways both serious and playful Thirst entertains without moralizing, though it frequently lacks narrative drive.",1
" Beautifully acted, intellectually engaging, and dramatically satisfying, Mud deserves to rocket to the top of your must-see list. ",1
" If 8mm and Cloverfield mated, they might produce Chronicle.",0
 It's one picturesque disaster after another.,0
" Baywatch won't blow anything out of the water (except for the boat it sets on fire), but it will certainly make a splash.",1
" Poor pacing ensures that most of the chuckles come in the film's second half, which makes the first half a chore.",0
" The film's late, unprepared-for perversity turnabout undoes what has gone before.",0
" Deliciously acted and good-humored to its core, it's one of the summer's very best surprises.",1
" 42 is a hackneyed, cookie-cutter film that manages to tell us absolutely nothing about a turning point in American history.",0
" [Charlize] Theron strides like a woman born to break both hearts and necks. [James] McAvoy and agency bosses John Goodman and Toby Jones provide amusing backup, but Theron lights the fire that keeps Atomic Blonde burning.",1
" The story isn't bad and it has a good message, but the pacing drains all of the energy and fun out of what could have been an exceptional family movie.",0
" If the shift in tone is jarring, the climax of the film is confusing and self-involved, and it makes for an underwhelming experience all around.",0
" Guy Maddin docu about his hometown gives fans everything they'd expect, plus a few moments of unexpected sincerity.",1
" Forget all the ruinously expensive special effects. They're not worth a minute of your time, much less two hours of mind-boggling mediocrity.",0
" An irresistible charmbomb. The in-jokes are verbal and visual, managing to reference themes as diverse as immigration and insider trading. It's all very droll and quietly, memorably dazzling. ",1
" Might keep the youngest of kiddos hypnotized by the gaudy imagery on screen, but Hop is far from hip.",0
" Color me relieved. There is no need to fear death, even the most horrifying kind of murder. Because the afterlife is exactly like the album cover for a 1970s progressive-rock band.",0
" The escalation of greed is a major factor in the film, and the unsettling aspiration of always wanting more - the ugly side of the American Dream - is rife.",1
" Appears to believe it has something poignant and universal to say about love and sex, but it hits not one plausible or emotionally authentic note.",0
" The message is nearly as slight as the presentation and just as hard to pin down, but even when tackling something as sharp edged and soft bellied as exclusion Littlerock is not without its pleasures.",1
" ""Edge"" is the operative word, as Craig grinds the genre's conventions to a razor sharpness that cut deep and give Steinfeld a platform to tap all her best instincts in fleshing out the most loveable narcissistic cynic since Larry David.",1
 It's exactly the kind of film that I'll forget having ever seen by the time Summer is over and that's too bad as I do love the premise of the film and I'm a fan of Rainn Wilson.,0
" As seen through Lord's eyes, the dramas and passions on display throughout the film come off as melodramas and grotesqueries.",0
" The co-directors and co-writers, Jay and Mark Duplass, appear to be saying, 'Hey, we are the new emperors of the independent cinema. And guess what? We have no clothes.'",0
" Neveldine and Taylor simply spray their venom across the screen with little vision, once again making a friendly trip to the multiplex feel like undeserved torture.",0
" I wish the film version of Astro Boy provided a stronger antidote to mediocrity....the script takes its sweet time establishing its rules and locale, then rolls in one too many subplots.",0
 The sinking realization kicks in: These people are taking this nonsense seriously.,0
" Terminator 3: Rise of the Machines tells the simple yet compelling story of a very old piece of equipment that refuses to go away. Its name is Arnold Schwarzenegger, and, as famously promised, he's back, and at his anticharismatic best, too.",1
 James Gray's long but very entertaining film reminds us of the derring-do that once drove Britons to overrun the globe.,1
" Never lives up to - or, for that matter, does anything to deserve - the recent parody tribute offered by Michael Bolton in a ""Saturday Night Live"" digital short...",0
" Skynet, Schmynet -- the future is here.",1
 Why is it that uplifting movies based on true stories often feel so untrue and fall so flat?,0
 Let the dust finally settle on these museum pieces.,0
 Even Boston Red Sox fans are likely to turn away in disgust.,0
" The year's most pleasant cinematic surprise. Once has enough heart, wit, verve and sheer songwriting genius to ensure you'll see it far more times than its title suggests.",1
 Adam Sandler takes on terrorism as Israeli agent-turned-hair stylist in raunchy shock comedy.,0
" Well, at least you can't accuse them of deceptive advertising: this grossed-out action comedy is, indeed, a cop out - in every sense of the word.",0
 A star is born in Storm Reid.,1
 Moving doc about troubled teens has powerful themes. ,1
 At least this feels like a Cameron Crowe movie.,1
" Granted, there may be some problematic road traversed in regards to mental health issues and power dynamics, but the talent involved is too great to deny Aardvark at least one viewing. ",1
" An artist-playboy stalking an ex-girlfriend sounds tailor-made for Charlie Sheen, but he and his comedy are rather bland. A not quite fully formed film from Roman Coppola.",0
 An instant classic amongst supernatural thrillers with a finely crafted surprise ending and a hot Nicole Kidman to boot.,1
" An electrifying and poignant double biography of two west coast bands...a sort of rock equivalent of 'Hoop Dreams,' substituting music for basketball.",1
" The whole film is shot in compellingly austere colors and a rapt gaze sweeping downward from the sky and ending, horrifyingly fixed on armored bodies lying in the mud. ",1
 A profound testament to the extraordinary power of moving images and sound.,1
" Shot over two years ago, released on the least-attended movie weekend of the year, and withheld from press screenings. Yowsa...one goofy thriller that can barely sustain a running time, much less provide heart-stopping chills.",0
" A funny, if farfetched, revenge fantasy for folks bilked by the likes of Bernie Madoff.",1
" [W]ants to have its pseudoscience cake and eat it too... The entire endeavor is laughable and ludicrous, a victim of its own misplaced earnestness.",0
 A warmly romantic comedy and a wonderful Christmas gift for viewers from The Joy Luck Club's Wayne Wang,1
 There's just enough here. Or almost enough. ,0
" So many heartbreaking performances in American cinema give us hysterya, suffering, weeping and sobing, just so we can feel pain. [Full review in Spanish]",1
" If You Don't Mess With the Zohan isn't the bravest movie ever made about current Arab-Israeli relations, it's at least the bravest movie ever made about current Arab-Israeli relations featuring a former Mossad agent who shags Lainie Kazan.",1
" A romantic comedy with zombies that has only sputtering comedy that is mostly undersold by its cast, and zombies that never entirely make sense or feel like a credible threat.",0
" Slowing the pace for romance is also a bad idea because it gives the audience the chance to spot plot holes bigger than Iceland's debt. But when he sticks to car chases, explosions and chest-kicking action, Statham delivers.",1
" The true merit of the movie is the momentary pleasures of the dialogue and the performances, but the story itself leaves you wanting. So, is it art? Looks like it.",0
" Cuesta has succeeded in making a clear and captivating narrative involving the issues of trust, loss and deceit, all of which take place within the space of a week.",1
" so many of the characters are so soulless, making it difficult to see past their sarcastic, brash exteriors... So when all the iciness melts away, the sentimentality which replaces it seems unconvincingly pat.",0
" There's not much in Skiptrace you haven't seen before, and Harlin seems to realize this, infusing the film with a generally carefree attitude toward even the most dramatic and/or emotional of situations.",0
 An overblown home movie with almost no dialogue.,0
" The coincidences might be too much for some, but viewers who can get past them will be treated to a suspenseful, well-acted, crisply photographed character study.",1
" Haraamkhor's characters are supposed to have shades of grey, but their blandness can never be mistaken for maturity. About the most shocking thing about this major-minor affair is its sloppiness.",0
 ... a new missed opportunity to regain the respect of critics and the public. [Full review in Spanish],0
" This Left Behind may be worse than the last Left Behind, but it's much less boring, thanks in part to the commitment of its star, who plays the often ludicrous material with the straightest of faces. The Cage works in mysterious ways.",0
" Better than the first film, but still too long and drawn out. ",1
" Middlingly racist, humorless, and downright inept, Pearl Harbor is solely for fans of fireworks factories.",0
 As deeply entertaining and creative as it is socially enlightening.,1
" Even if there weren't really only 21 days left until the world goes kablooey, you wouldn't want to waste your precious time watching this.",0
 It's a delight to see Deneuve and Frot share scenes. [Full Review in Spanish] ,1
 Neil Jordan's first feature film in six years is a derivative and at times ludicrous psychodrama.,0
 This isn't funny. It's sad and disheartening and demeaning...,0
 'The simplicity of the tale on the surface belies the depth of feeling that comes roaring out from behind Eastwood's enduring squint.',1
" Eye-popping and bounding with energy, this is fun for audiences of all ages.",1
" ""Gun"" acknowledges the solutions to this ongoing problem are neither easy nor obvious, while persuasively arguing that more, surely, can be done.",1
" Director Kevin Allen offers a lot more gadgets in Cody 2, but surprisingly little in the way of memorable action.",0
 Go see Awake fully-caffeinated with a bunch of friends willing to yell back at the screen and cheer for Lena Olin whenever she appears. It's the right way to enjoy such an unintentionally camp piece of crap.,0
" Any action film that sets its opening sequence to ELO's ""Mister Blue Sky"" can't be all bad, but the ""Guardians"" franchise will need more than an excellent vinyl collection from here on out.",1
" Even at less than 80 minutes sans end credits, ""The Brothers Grimsby"" is about as pleasant as elephant semen to the face.",0
" ""Truth or Dare"" is a weak b-movie, that has been punched up by Blum's producer credit and the popular cast. It's certainly not a good film. And, hopefully, it is not a sign of things to come from the Blumhouse team.",0
 The only real suspense in Basic Instinct 2 is whether Stone will or won't reprise the scene that she once absurdly claimed she was tricked into doing.,0
" In purely cinematic terms, Buried, set in late 2006, is an ingenious exercise in sustained tension that would make Alfred Hitchcock turn over in his grave.",1
" ...clumsy, unfunny, disgracefully sexist.",0
" There's not much drama and even less tension to Skate Kitchen, but that's just fine; the movie glides along with the characters as they drift through their days.",1
" Surprising, intoxicating, euphoric and will undoubtedly be the greatest jazz drumming movie you see all year.",1
" A clear-sighted, compassionate portrait of a troubled soul.",1
" Dig Two Graves makes some pretty nifty transitions from the 1940s to the 1970s, including one seemingly unbroken shot. Every trip to the past reveals something about the ""present-day"" journey.",1
" This clever Finnish export is not for any child who cannot be exposed to R-rated language, scary Santas and plenty of gore. ""Rare Exports"" has the potential for ""Bad Santa"" style cult status.",1
" Nothing more than an attempt to stroke the ""Star Wars"" fans ... they're probably the only ones who might appreciate what is generally a weak and unfunny movie.",0
 Although Whiteley's unrestricted there-ness effortlessly yields an avuncular striver ... it means little when the viewpoint is so hermetic.,0
 Refn's style is worth sampling even though it feels in search of a subject.,1
" If you're old enough to read this, odds are the first thing you want to know about ""Open Season"" is: ""How much is this going to annoy me?""",0
 Everything about Impostor ... is both familiar and profoundly unoriginal.,0
 Does a terrific job of showing the competitive nature of not just the kids but their parents and the pressure put on teenagers to perform...,1
" The script is episodic by nature as it blurs fantasy and reality, with some vignettes more amusing or compelling than others.",0
" Someone would have to be pretty soft to buy the whole thing, and awfully hard not to fall at all.",1
" While it seems like grand slam material for the bearded maestro, the story rarely gets off the ground, lost between its dreamy storybook qualities and need to reinforce the bone-chilling tragedy of war. ",0
 It must be the end of the world: the best film so far this year is a franchise sequel starring Wesley Snipes.,1
" Although you may have to sit through some melodramatic moments and you know ultimately how Seabiscuit turns out, don't worry. Sit back, learn a little history and enjoy a great ride.",1
" Exactly the movie that one expects it to be -- a frustrating quality for some, but smooth medicine for those who trust and like writer-actors' puppy dog tales that unfold loosely in the vein of Ed Burns.",1
 A mediocre production that nevertheless will strike a deep and resonant chord with viewers.,0
" Coster-Waldau gives a committed performance, but Waugh's screenplay and direction is so focused on the machinations of crime that it ignores the gang's structural contradictions, and any hint of desire or sexual necessity.",0
 A surreal descent into a twilight zone created by the twisted sensibilities of two cinematic geniuses.,1
 Qureshi and Saleem can do little with the limited material and unimaginative direction.,0
 Annemarie Jacir's characters may not leave the city of Nazareth as they take a circular road trip in Wajib but the emotional distance they travel is considerable.,1
" Rather than employ Harmonium's setup for humorous or bittersweet insights, Fukada distills the conceit into his most harrowing, tragic parable to date.",1
" Room demands not just to be seen, but felt-and the feelings echo long after you've left the theater. This is destined to be one of the year's best and most celebrated films.",1
" I get the whole loud kitschy 80s-tribute vibe, but there is a thin line between imitation and impersonation.",0
 A movie that renews our faith in the pertinence and durability of this 50-year-old franchise.,1
 Moonlight takes the concept of the bildungsroman to its natural end point in ways that many coming-of-age stories don't.,1
" It's a comic shift some hardcore action fans may not like, but, honestly, you probably shouldn't have been taking this stuff so seriously in the first place.",0
 The Lunchbox offers us a naturalistic glimpse of middle-class life in modern Mumbai.,1
" Perhaps, like me, you find the oeuvre of British writer-director Richard Curtis a bit -- how shall I put it -- twee?",0
" 'Trust me, when you walk out of the theater from this one, you'll know you've seen a great movie.'",1
 A get-under-your-skin makes no sense classic with some of the scariest images ever put on film.,1
" Murray's spot-on portrayal of a man juggling myriad pressures and demands, from petty to momentous, marks one of the film's greatest strengths.",1
" This forgettable sci-fi fantasy is a sullen, superficial slog.",0
" Although not worse than the prequels for me, The Last Jedi is its own special kind of meh that demonstrates Disney doesn't have the guts to do this franchise any justice. ",0
" Even before a ""do as I say, not as I do"" twist costs it all credibility, ""Prescription Thugs"" is a not very good documentary about a very important subject.",0
 Not funny and very predictable.,0
" Endless rounds of boisterous battle scenes and eardrum annihilating explosions, until you couldn't care less which side wins. So if there's any real human passion rising to the surface amid the rubble, it's all about the guns, baby.",0
 The sole pleasure I got was in gazing at the fancy costumes and taking in the lush grounds of the snobby Lady Gresham's estate.,0
" It's an exciting watch, but more than that it's a respectful appreciation of Hong Kong cinema and all those who came before.",1
" ""Widows"" is a gritty heist movie and a story of female empowerment.",1
" Move over Bollywood, because India is going indie.",1
" Tony Gilroy's Michael Clayton feels so fresh, so smart, so different from the standard-issue legal thriller that it isn't until nearly an hour in that you notice how conventional a movie it actually is.",1
" The story of Billy Elliot is as old as the coal buried in England's hills, and it's as new as the voyage of self-discovery that some teen-ager somewhere has to make every day.",1
" It plays out as lame as you might think with the dude version being Sandler in ""angry"" mode and the sister nothing more than a collection of obnoxious traits.",0
" Sadly, there are no brilliantly stupid scenes",0
 I daresay that even a splinter in the eyeball would be less painful than sitting through this debacle.,0
" While Helen Mirren elevates the material with her usual aplomb and the events being depicted inevitably are stirring, this is a stodgy crusade-for-justice drama, directed and written with minimal flair.",0
" It's a deeply assured piece of direction, and though it only plays a few emotional notes, they are ones that won't soon leave your memory.",1
